"Search Parameters"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
"Tsunami ID = 5413"																																	
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE, TOHOKU REGION"	38.733233	141.545306	86.92403279265943									13.11	0	5														
		"n"	"JAPAN"	"FUKUSHIMA"	"FUKUSHIMA PREFECTURE, TOHOKU REGION"	37.725389	141.01075	135.41283298960073									13.12	70	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	39.648317	141.980702	153.81977302872795									13.22	20	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	40.132042	141.839792	208.86404872739956									13.23	319.5	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	40.182975	141.802947	215.08565420315668									13.23	75	5														
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE, TOHOKU REGION"	38.643	141.48043	86.8474608782539									13.26	139.64	5														
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE, TOHOKU REGION"	38.908472	141.648222	92.6999797780987									13.32	0	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	38.978583	141.627306	99.69823560418841									13.32	25	5														
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE, TOHOKU REGION"	38.717128	141.525536	87.40112932729987									13.36	0	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	39.60619	141.976473	149.3480094274514									13.39	150	5														
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE, TOHOKU REGION"	38.958361	141.633889	97.63270758465463									13.42	0	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	39.353139	141.935111	123.25611027489593									13.47	288.03	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	39.598127	141.942508	149.1865244899188									13.47	200	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	40.220278	141.810889	218.96407208861385									13.5	0	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	39.427345	141.978751	130.06434979257614									13.5	20	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	40.276833	141.809528	225.11319194020066									13.54	36	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	39.597779	141.940425	149.19441853462644									13.57	340	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	39.589569	141.945697	148.1979825358375									13.58	100	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	39.207667	141.881833	109.73965834625825									13.59	0	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	39.239028	141.913556	111.93885459724353									13.64	127.6	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	38.997944	141.682694	98.31439183393961									13.67	150	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	38.984556	141.619167	100.66117816201178									13.68	520	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	39.108861	141.830556	101.72915400622537									13.72	32	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	39.43475	141.975222	130.93764239328223									13.73	470	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	39.038611	141.800222	96.24087776532033									13.73	271	5														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	38.957056	141.720194	92.73666657664057									13.77	315	5														
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE, TOHOKU REGION"	38.413417	141.241222	99.76526264841188									5.99	0	4														
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE, TOHOKU REGION"	38.198694	140.963889	123.82848812283456									6	0	4														
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE, TOHOKU REGION"	38.85125	141.579444	92.5604609561893									6	0	4														
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE, TOHOKU REGION"	38.359361	141.15625	106.61630413271337									6.1	38.63	4														
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE, TOHOKU REGION"	38.898583	141.631389	92.91568059275923									6.11	0	4														
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE, TOHOKU REGION"	38.027556	140.917417	131.02273907423196									6.2	105	4														
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE, TOHOKU REGION"	38.257139	141.002	120.04429906772774									6.22	850	4														
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE, TOHOKU REGION"	38.520583	141.341583	93.44231157749239									6.3	0	4														
		"n"	"JAPAN"	"IWATE"	"IWATE PREFECTURE, TOHOKU REGION"	40.401478	141.720175	240.32256692106873									6.33	100	4														
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE, TOHOKU REGION"	38.328917	141.164278	105.77086395636137									6.34	0	4														
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE, TOHOKU REGION"	38.410083	141.263333	97.80326192833239									6.43	0	4														
